"","id","Staande.lengte","Zittende.lengte","Lengte.bovenlichaam","Gewicht","Maturity.Offset","Balance.Beam.6cm","Balance.Beam.4.5cm","Balance.Beam.3cm","Balance.beam.totaal","Zijwaarts.springen.1","Zijwaarts.springen.2","Zijwaarts.springen.totaal","Zijwaarts.verplaatsen.1","Zijwaarts.verplaatsen.2","Zijwaarts.verplaatsen.totaal","Oog.hand.coordinatie.1","Oog.hand.coordinatie.2","Oog.hand.coordinatie.Totaal","X10.meter.sprint.1","X10.meter.sprint.2","X10.meter.sprint.beste","X20.meter.sprint.1","X20.meter.sprint.2","X20.meter.sprint.beste","X30.meter.sprint.1","X30.meter.sprint.2","X30.meter.sprint.beste","CoD.links.1","CoD.links.2","CoD.links.beste","CoD.rechts.1","CoD.rechts.2","CoD.rechts.beste","Vertesprong.1","Vertesprong.2","Vertesprong.beste","team_id","reeks_id","team_naam","geboortedatum"
"498",1622,159.7,120.5,80.6,50,NA,24,24,21,69,51,54,105,31,33,64,26,30,56,2,1.9,1.9,3.41,3.3,3.3,4.85,4.71,4.71,8.74,8.41,8.41,8.49,8.52,8.49,1.87,1.88,1.88,2,1,"Onder 14","2008-06"
"499",1623,153.8,120.4,80.5,46,NA,20,21,7,48,55,49,104,33,36,69,24,30,54,2.09,2.08,2.08,3.49,3.52,3.49,4.91,4.94,4.91,8.77,8.95,8.77,8.99,8.79,8.79,1.82,1.8,1.82,2,1,"Onder 14","2008-06"
"500",1638,145.6,103.8,63.9,37.2,NA,24,24,16,64,56,60,116,29,37,66,32,32,64,1.9,2.12,1.9,3.26,3.55,3.26,4.64,4.82,4.64,8.91,8.98,8.91,8.91,8.72,8.72,1.68,1.75,1.75,3,1,"Onder 15","2008-06"
"501",1762,152.3,122.6,80.5,39.7,NA,24,24,12,60,58,58,116,28,36,64,40,38,78,1.99,1.96,1.96,3.37,3.37,3.37,4.72,4.68,4.68,8.21,8.11,8.11,8.31,8.14,8.14,2.01,1.97,2.01,2,1,"Onder 14","2008-06"
"502",1763,170.2,128.8,86.7,51.7,NA,24,24,24,72,62,60,122,33,36,69,21,33,54,1.95,1.9,1.9,3.32,3.27,3.27,4.58,4.54,4.54,8.18,8.06,8.06,8.53,8.13,8.13,2.1,2.17,2.17,2,1,"Onder 14","2008-06"
"503",1902,119.1,154.3,112.9,39.8,NA,24,24,15,63,51,50,101,20,28,48,26,29,55,2,2.16,2,3.54,3.69,3.54,5.09,5.2,5.09,9.24,9.07,9.07,9.07,9.31,9.07,1.76,1.68,1.76,2,1,"Onder 14","2008-06"
"504",1903,160,122.6,81.2,54.7,NA,24,24,21,69,60,60,120,28,28,56,36,38,74,1.98,1.92,1.92,3.34,3.27,3.27,4.62,4.55,4.55,8.43,8.62,8.43,8.71,8.44,8.44,2.19,2.2,2.2,2,1,"Onder 14","2008-06"
"505",2231,168,125,82.4,51.3,NA,24,24,12,60,56,60,116,31,33,64,41,45,86,1.82,1.9,1.82,3.12,3.24,3.12,4.29,4.47,4.29,8.5,8.44,8.44,8.54,8.55,8.54,1.88,1.95,1.95,2,1,"Onder 14","2008-06"
"506",1621,166.7,121.9,82,50,NA,21,18,20,59,54,48,102,27,30,57,24,30,54,1.99,2.03,1.99,3.5,3.57,3.5,5.06,5.1,5.06,9.17,9.06,9.06,9.08,9.05,9.05,1.91,1.94,1.94,2,1,"Onder 14","2008-07"
"507",1637,166.6,120.8,80.9,53.1,NA,15,20,9,44,52,54,106,25,30,55,26,34,60,1.99,1.91,1.91,3.49,3.31,3.31,4.85,4.65,4.65,8.98,9.23,8.98,8.71,8.65,8.65,1.61,1.74,1.74,3,1,"Onder 15","2008-07"
"508",1761,157.1,121.2,79.1,47,NA,24,18,13,55,43,46,89,28,37,65,20,30,50,1.97,2.05,1.97,3.43,3.45,3.43,4.85,4.87,4.85,8.53,8.84,8.53,9.1,8.68,8.68,2.1,2.14,2.14,2,1,"Onder 14","2008-07"
"509",1899,158.5,119.3,77.9,50.5,NA,23,15,17,55,54,56,110,24,26,50,33,30,63,1.98,2.03,1.98,3.25,3.54,3.25,5.2,5.23,5.2,8.83,8.76,8.76,9.08,8.84,8.84,1.38,1.36,1.38,2,1,"Onder 14","2008-07"
"510",1900,156.4,119.4,78,45.2,NA,22,20,12,54,50,52,102,26,28,54,36,33,69,1.89,1.76,1.76,3.28,3.15,3.15,4.63,4.62,4.62,8.09,8.01,8.01,8.43,7.85,7.85,1.83,1.88,1.88,2,1,"Onder 14","2008-07"
"511",1901,160.2,122.5,81.1,53,NA,18,22,16,56,48,48,96,23,29,52,30,36,66,2.4,2.45,2.4,4.03,4.12,4.03,5.63,5.71,5.63,9.93,9.53,9.53,9.69,9.63,9.63,1.55,1.57,1.57,2,1,"Onder 14","2008-07"
"512",2230,154,115,72.4,44.1,NA,14,23,15,52,54,53,107,21,26,47,38,48,86,2.19,2.16,2.16,3.78,3.72,3.72,5.21,5.16,5.16,9.33,9.26,9.26,10.18,9.36,9.36,1.67,1.68,1.68,2,1,"Onder 14","2008-07"
"513",248,158.8,126.1,81.1,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"Onder 14","2008-08"
"514",1760,148.6,118.3,76.2,37.6,NA,22,11,13,46,56,55,111,26,28,54,26,31,57,2.02,2.08,2.02,3.46,3.53,3.46,4.88,4.94,4.88,8.79,8.76,8.76,8.66,8.6,8.6,1.84,1.91,1.91,2,1,"Onder 14","2008-08"
"515",1898,NA,NA,NA,NA,NA,24,13,20,57,52,54,106,25,29,54,28,40,68,2.16,2.14,2.14,3.66,3.61,3.61,5.11,5.06,5.06,8.63,8.45,8.45,8.69,8.65,8.65,1.98,2.04,2.04,2,1,"Onder 14","2008-08"
"516",247,149.4,121.2,76.2,39.7,NA,24,23,14,61,64,48,112,30,33,63,23,25,48,2,1.94,1.94,3.39,3.36,3.36,4.79,4.73,4.73,8.82,8.63,8.63,8.65,8.64,8.64,1.68,1.68,1.68,2,1,"Onder 14","2008-09"
"517",1759,157,121.5,79.4,41.4,NA,24,24,20,68,46,44,90,31,34,65,NA,NA,NA,1.88,1.89,1.88,3.28,3.26,3.26,4.6,4.53,4.53,8.39,8.34,8.34,8.47,8.48,8.47,2.03,1.99,2.03,2,1,"Onder 14","2008-09"
"518",1897,167,126.9,85.5,54.5,NA,20,12,12,44,54,58,112,26,31,57,29,32,61,1.8,1.83,1.8,3.13,3.12,3.12,4.38,4.37,4.37,8.14,8.28,8.14,7.93,8.3,7.93,1.92,2.01,2.01,2,1,"Onder 14","2008-09"
"519",2228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"Onder 14","2008-09"
"520",2229,158,120,77.4,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"Onder 14","2008-09"
"521",246,149.9,120.4,75.4,38.4,NA,24,19,23,66,40,46,86,31,33,64,27,30,57,1.92,1.91,1.91,3.34,3.28,3.28,4.76,4.64,4.64,8.46,8.44,8.44,8.39,8.44,8.39,1.91,2.03,2.03,2,1,"Onder 14","2008-10"
"522",1619,156.1,116.9,77,40.6,NA,24,24,15,63,52,59,111,31,27,58,28,32,60,2.16,2.22,2.16,3.68,3.75,3.68,5.19,5.23,5.19,8.82,8.88,8.82,8.85,8.98,8.85,1.85,1.86,1.86,2,1,"Onder 14","2008-10"
"523",1620,165,120.7,80.8,52.1,NA,24,24,10,58,46,48,94,29,31,60,28,28,56,2.06,1.99,1.99,3.42,3.42,3.42,4.83,4.89,4.83,9,9.25,9,9.1,9.17,9.1,1.93,1.78,1.93,2,1,"Onder 14","2008-10"
"524",1756,146.5,119,76.9,42.5,NA,24,13,10,47,49,49,98,22,24,46,36,36,72,2.02,2.12,2.02,3.45,3.55,3.45,4.81,4.92,4.81,8.58,8.55,8.55,8.51,8.46,8.46,1.67,1.8,1.8,2,1,"Onder 14","2008-10"
"525",1757,160.2,126,83.9,44.4,NA,24,24,24,72,48,48,96,32,34,66,29,34,63,1.86,1.94,1.86,3.27,3.31,3.27,4.55,4.57,4.55,8.27,8.3,8.27,8.41,8.18,8.18,2.17,2.19,2.19,2,1,"Onder 14","2008-10"
"526",1758,154.8,120.2,78.1,40.1,NA,24,19,9,52,50,52,102,24,32,56,26,28,54,1.82,1.8,1.8,3.16,3.16,3.16,4.44,4.45,4.44,8.32,8.37,8.32,8.31,8.39,8.31,1.92,1.95,1.95,2,1,"Onder 14","2008-10"
"527",2227,158.5,118.5,75.9,41.7,NA,24,24,24,72,64,66,130,NA,NA,NA,44,45,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"Onder 14","2008-10"
"528",244,153.9,123.9,78.9,43.4,NA,24,24,23,71,48,50,98,33,35,68,22,29,51,2.01,1.97,1.97,3.42,3.39,3.39,4.75,4.78,4.75,8.67,8.89,8.67,8.66,8.77,8.66,1.85,1.94,1.94,2,1,"Onder 14","2008-11"
"529",245,NA,NA,NA,NA,NA,24,19,12,55,36,28,64,29,33,62,27,24,51,2.14,2.16,2.14,3.63,3.67,3.63,5.13,5.13,5.13,9.22,9.46,9.22,9.2,9.26,9.2,1.77,1.79,1.79,2,1,"Onder 14","2008-11"
"530",1755,144.9,115.5,73.4,30.9,NA,24,18,7,49,54,52,106,29,34,63,28,32,60,2.02,1.96,1.96,3.46,3.42,3.42,4.91,4.79,4.79,9,8.64,8.64,8.67,8.4,8.4,1.83,1.77,1.83,2,1,"Onder 14","2008-11"
"531",2226,147,119,76.4,37.1,NA,24,24,23,71,58,59,117,NA,NA,NA,49,37,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"Onder 14","2008-11"
"532",243,158.9,122.8,77.8,54.4,NA,24,9,11,44,58,46,104,26,31,57,32,37,69,1.94,2,1.94,3.29,3.33,3.29,4.75,4.7,4.7,8.62,8.34,8.34,8.47,8.47,8.47,1.44,1.79,1.79,2,1,"Onder 14","2008-12"
"533",1618,165.1,122.1,82.2,45,NA,24,24,16,64,47,50,97,32,31,63,22,30,52,1.96,2.15,1.96,3.46,3.65,3.46,4.94,5.17,4.94,8.96,9.57,8.96,9.75,9.5,9.5,1.92,1.79,1.92,2,1,"Onder 14","2008-12"
"534",2224,144.5,116,73.4,35.9,NA,24,24,18,66,45,45,90,31,37,68,29,33,62,1.93,1.92,1.92,3.38,3.42,3.38,4.75,4.81,4.75,8.49,8.31,8.31,8.43,8.38,8.38,1.92,1.99,1.99,1,1,"Onder 13","2008-12"
"535",2225,162,125,82.4,48,NA,24,21,24,69,60,58,118,32,38,70,46,46,92,1.92,2.03,1.92,3.36,3.46,3.36,4.67,4.77,4.67,8.8,8.73,8.73,8.63,8.53,8.53,1.95,1.92,1.95,2,1,"Onder 14","2008-12"
"536",240,165.7,129.6,84.6,48.5,NA,18,11,7,36,50,48,98,23,26,49,NA,NA,NA,2.05,2.16,2.05,3.52,3.62,3.52,4.95,5.03,4.95,8.45,8.35,8.35,8.93,8.81,8.81,1.87,1.86,1.87,1,1,"Onder 13","2009-01"
